Initializing Qwen Client with model: qwen3-vl-8b-instruct
Using Data Root: /ceph/hpc/home/euweihez/topcon/d2025d08-005-users/data_src/balanced/balanced_th/th/balanced_theory
--- SHARD INFO ---
Job ID: 1 / 4
Processing indices: 494 to 988 (Total: 494 papers)
Outputting to: /ceph/hpc/home/euweihez/topcon/d2025d08-005-users/img_description/th/image_descriptions_1.json
------------------
[FcxwXnYXWh] figure_1.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_19.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_23.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_24.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_5.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_6.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_9.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_28.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_18.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_13.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_15.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_2.jpg -> classified as: Architecture Diagram
[FdVXgSJhvz] figure_20.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_11.jpg -> classified as: Qualitative Examples
[FdVXgSJhvz] figure_7.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_4.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_17.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_1.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_27.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_8.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_25.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_21.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_26.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_14.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_16.jpg -> classified as: Plots / Charts
[FdVXgSJhvz] figure_10.jpg -> classified as: Plots / Charts
[FhLOZF8Tsm] figure_A_2.jpg -> classified as: Plots / Charts
[FhLOZF8Tsm] figure_A.jpg -> classified as: Plots / Charts
