paper_id,title,abstract,authors,num_reviews,avg_rating,venue
iEeiZlTbts,No Regrets: Investigating and Improving Regret Approximations for Curriculum Discovery,"What data or environments to use for training to improve downstream performance is a longstanding and very topical question in reinforcement learning. 
In particular, Unsupervised Environment Design (UED) methods have gained recent attention as their adaptive curricula promise to enable agents to be robust to in- and out-of-distribution tasks.
This work investigates how existing UED methods select training environments, focusing on task prioritisation metrics.
Surprisingly, despite methods aimin...","Alexander Rutherford, Michael Beukman, Timon Willi, Bruno Lacerda, Nick Hawes, Jakob Nicolaus Foerster",8,6.5,NeurIPS 2024 poster
YZoGmJrOS9,Can Custom Models Learn In-Context? An Exploration of Hybrid Architecture Performance on In-Context Learning Tasks,In-Context Learning (ICL) is a phenomenon where task learning occurs through a prompt sequence without the necessity of parameter updates. ICL in Multi-Headed Attention (MHA) with absolute positional embedding has been the focus of more study than other sequence model varieties. We examine implications of architectural differences between GPT-2 and LLaMa as well as Llama and Mamba. We extend work done by Garg et al. (2022) and Park et al. (2024) to GPT-2/LLaMa hybrid and LLaMa/Mamba hybrid model...,"Ryan Campbell, Nelson Lojo, Kesava Viswanadha, Christoffer Grøndal Tryggestad, Derrick Sun, Sriteja Vijapurapu, August Rolfsen, Anant Sahai",4,3.75,Submitted to NeurIPS 2024
jIh4W7r0rn,Autoregressive Image Diffusion: Generation of Image Sequence and Application in MRI,"Magnetic resonance imaging (MRI) is a widely used non-invasive imaging modality. However, a persistent challenge  lies in balancing image quality with imaging speed. This trade-off is primarily constrained by k-space measurements, which traverse specific trajectories in the spatial Fourier domain (k-space). These measurements are often undersampled to shorten acquisition times, resulting in image artifacts and compromised quality. Generative models learn image distributions and can be used to re...","Guanxiong Luo, Shoujin Huang, Martin Uecker",6,5.33,NeurIPS 2024 poster
JlWn80mTJi,The Implicit Bias of Gradient Descent on Separable Multiclass Data,"Implicit bias describes the phenomenon where optimization-based training algorithms, without explicit regularization, show a preference for simple estimators even when more complex estimators have equal objective values. Multiple works have developed the theory of implicit bias for binary classification under the assumption that the loss satisfies an *exponential tail property*. However, there is a noticeable gap in analysis for multiclass classification, with only a handful of results which the...","Hrithik Ravi, Clayton Scott, Daniel Soudry, Yutong Wang",8,5.75,NeurIPS 2024 poster
m5dyKArVn8,How many classifiers do we need?,"As performance gains through scaling data and/or model size experience diminishing returns, it is becoming increasingly popular to turn to ensembling, where the predictions of multiple models are combined to improve accuracy. 
In this paper, we provide a detailed analysis of how the disagreement and the polarization (a notion we introduce and define in this paper) among classifiers relate to the performance gain achieved by aggregating individual classifiers, for majority vote strategies in clas...","Hyunsuk Kim, Liam Hodgkinson, Ryan Theisen, Michael W. Mahoney",8,6.75,NeurIPS 2024 poster
te6VagJf6G,"Learning to Reason via Program Generation, Emulation, and Search","Program synthesis with language models (LMs) has unlocked a large set of reasoning abilities; code-tuned LMs have proven adept at generating programs that solve a wide variety of algorithmic symbolic manipulation tasks (e.g. word concatenation). However, not all reasoning tasks are easily expressible as code, e.g. tasks involving commonsense reasoning, moral decision-making, and sarcasm understanding. Our goal is to extend a LM’s program synthesis skills to such tasks and evaluate the results vi...","Nathaniel Weir, Muhammad Khalifa, Linlu Qiu, Orion Weller, Peter Clark",6,6.0,NeurIPS 2024 poster
8puv3c9CPg,Beyond the Doors of Perception: Vision Transformers Represent Relations Between Objects,"Though vision transformers (ViTs) have achieved state-of-the-art performance in a variety of settings, they exhibit surprising failures when performing tasks involving visual relations. This begs the question: how do ViTs attempt to perform tasks that require computing visual relations between objects? Prior efforts to interpret ViTs tend to focus on characterizing relevant low-level visual features. In contrast, we adopt methods from mechanistic interpretability to study the higher-level visual...","Michael A. Lepori, Alexa R. Tartaglini, Wai Keen Vong, Thomas Serre, Brenden Lake, Ellie Pavlick",8,5.5,NeurIPS 2024 poster
qrfp4eeZ47,FactorizePhys: Matrix Factorization for Multidimensional Attention in Remote Physiological Sensing,"Remote photoplethysmography (rPPG) enables non-invasive extraction of blood volume pulse signals through imaging, transforming spatial-temporal data into time series signals. Advances in end-to-end rPPG approaches have focused on this transformation where attention mechanisms are crucial for feature extraction. However, existing methods compute attention disjointly across spatial, temporal, and channel dimensions. Here, we propose the Factorized Self-Attention Module (FSAM), which jointly comput...","Jitesh Joshi, Sos Agaian, Youngjun Cho",6,5.0,NeurIPS 2024 poster
BRZYhVHvSg,Multi-Group Proportional Representation in Retrieval,"Image search and retrieval tasks can perpetuate harmful stereotypes, erase cultural identities, and amplify social disparities. Current approaches to mitigate these representational harms balance the number of retrieved items across population groups defined by a small number of (often binary) attributes. However, most existing methods overlook intersectional groups determined by combinations of
group attributes, such as gender, race, and ethnicity. We introduce Multi-Group Proportional Represen...","Alex Oesterling, Claudio Mayrink Verdun, Alexander Glynn, Carol Xuan Long, Lucas Monteiro Paes, Sajani Vithana, Martina Cardone, Flavio Calmon",6,7.33,NeurIPS 2024 poster
oEKFPSOWpp,NeuralSteiner: Learning Steiner Tree for Overflow-avoiding Global Routing in Chip Design,"Global routing plays a critical role in modern chip design. The routing paths generated by global routers often form a rectilinear Steiner tree (RST). Recent advances from the machine learning community have shown the power of learning-based route generation; however, the yielded routing paths by the existing approaches often suffer from considerable overflow, thus greatly hindering their application in practice.
We propose NeuralSteiner, an accurate approach to overflow-avoiding global routing ...","Ruizhi Liu, ZhishengZeng, Shizhe Ding, Jingyan Sui, Xingquan Li, Dongbo Bu",8,6.0,NeurIPS 2024 poster
